DATE,VI,LM,SI,N
2015-10-30 00:00:00,11.324404484874126,11.4,7.93820777109647,5.8
2015-10-30 01:00:00,11.318191664903743,11.3,8.275406033317031,6.1
2015-10-30 02:00:00,11.658390522530146,11.1,7.744561886814166,6.3
2015-10-30 03:00:00,11.438503067484662,10.9,7.978351483154472,6.3
2015-10-30 04:00:00,11.228983287497355,11.1,7.815027908047299,5.6
2015-10-30 05:00:00,11.210367675058176,11.7,8.210205138533247,5.3
2015-10-30 06:00:00,11.138927015020098,11.6,8.031065324970509,5.1
2015-10-30 07:00:00,11.057966574994712,11.8,8.568889360416605,5.0
2015-10-30 08:00:00,11.232089697482548,12.1,8.332838708749318,4.9
2015-10-30 09:00:00,12.32632367251957,12.5,8.672982420807319,4.7
2015-10-30 10:00:00,13.809850645229535,13.1,9.116697355928302,5.1
2015-10-30 11:00:00,15.504932515337426,13.3,9.947541502431164,5.6
2015-10-30 12:00:00,15.608239475354347,12.8,10.319317691400293,6.0
2015-10-30 13:00:00,15.536151470277133,12.4,11.78752265730644,7.8
2015-10-30 14:00:00,15.601155912841124,12.5,12.45215640014961,7.6
2015-10-30 15:00:00,15.63592807277343,12.9,12.316268305665044,9.3
2015-10-30 16:00:00,15.331549820181936,12.7,11.582478709324741,9.0
2015-10-30 17:00:00,14.546635075100484,12.0,9.936143438731769,8.5
2015-10-30 18:00:00,14.001518087581976,11.4,8.914761414966769,7.1
2015-10-30 19:00:00,12.855106409985193,11.0,8.058638907270478,6.3
2015-10-30 20:00:00,12.303553204992594,11.0,6.467904307046063,4.7
2015-10-30 21:00:00,11.61200169240533,11.2,9.98408953592082,4.7
2015-10-30 22:00:00,11.318839009942884,11.4,8.528454699772707,4.7
2015-10-30 23:00:00,11.005788872434948,11.5,6.951275282676871,4.0
2015-10-31 00:00:00,10.925252379944997,11.0,6.797576387490289,3.3
2015-10-31 01:00:00,10.871016712502644,10.8,6.6551716201053015,1.8
2015-10-31 02:00:00,10.900423947535437,10.8,6.816338075783294,1.6
2015-10-31 03:00:00,11.09401057753332,10.9,6.8443993296314405,1.6
2015-10-31 04:00:00,11.500647345039136,10.7,6.5230173058664445,0.6
2015-10-31 05:00:00,11.449094140046538,10.3,6.424327473602441,0.8
2015-10-31 06:00:00,11.278501375079331,10.4,6.6142395776390375,0.1
2015-10-31 07:00:00,11.500647345039136,10.1,6.573933308398307,-0.2
2015-10-31 08:00:00,12.533384387560822,10.0,6.350290229306326,1.1
2015-10-31 09:00:00,13.556601650095198,11.1,6.590596498547055,1.6
2015-10-31 10:00:00,14.331572667653901,12.6,7.012141079494778,1.7
2015-10-31 11:00:00,14.499398349904805,15.3,7.684079825646632,2.3
2015-10-31 12:00:00,14.86172033001904,14.4,8.461746914290648,2.4
2015-10-31 13:00:00,14.718499682674,14.1,9.613509868515694,3.1
2015-10-31 14:00:00,14.727310344827584,14.2,9.868159651293263,3.3
2015-10-31 15:00:00,15.308471334884706,14.6,10.685807894812557,4.1
2015-10-31 16:00:00,15.131866299978846,13.6,10.99736851569468,4.4
2015-10-31 17:00:00,15.277653480008464,13.9,10.728212662197544,4.1
2015-10-31 18:00:00,12.20324518722234,12.1,9.241467186466037,3.6
2015-10-31 19:00:00,11.35042013962344,11.7,9.001786690450844,2.7
2015-10-31 20:00:00,11.089771102178972,9.6,7.7646923641280905,2.2
2015-10-31 21:00:00,11.001896340173474,11.2,6.818982866760652,2.3
